id,town,rate2040,rate2013
1648,陸別町,0.00 ,0.00 
1649,浦幌町,66.67 ,66.67 
1661,釧路町,40.00 ,20.00 
1662,厚岸町,60.00 ,60.00 
1663,浜中町,66.67 ,33.33 
1664,標茶町,88.89 ,77.78 
1665,弟子屈町,83.33 ,66.67 
1667,鶴居村,66.67 ,33.33 
1668,白糠町,33.33 ,33.33 
1691,別海町,44.44 ,0.00 
1692,中標津町,50.00 ,50.00 
1693,標津町,0.00 ,0.00 
1694,羅臼町,0.00 ,0.00 
2201,青森市,6.52 ,2.17 
2202,弘前市,18.92 ,10.81 
2203,八戸市,21.28 ,17.02 
2204,黒石市,10.00 ,0.00 
2205,五所川原市,15.38 ,0.00 
2206,十和田市,41.18 ,17.65 
2207,三沢市,14.29 ,0.00 
2208,むつ市,30.77 ,7.69 
2209,つがる市,36.36 ,0.00 
2210,平川市,10.00 ,10.00 
2301,平内町,0.00 ,0.00 
2303,今別町,100.00 ,0.00 
2304,蓬田村,0.00 ,0.00 
2307,外ヶ浜町,66.67 ,0.00 
2321,鰺ヶ沢町,0.00 ,0.00 
2323,深浦町,33.33 ,0.00 
2343,西目屋村,100.00 ,0.00 
2361,藤崎町,0.00 ,0.00 
2362,大鰐町,50.00 ,0.00 
2367,田舎館村,0.00 ,0.00 
2381,板柳町,0.00 ,0.00 
2384,鶴田町,66.67 ,0.00 
2387,中泊町,50.00 ,0.00 
2401,野辺地町,33.33 ,0.00 
2402,七戸町,0.00 ,0.00 
2405,六戸町,0.00 ,0.00 
2406,横浜町,75.00 ,0.00 
2408,東北町,57.14 ,0.00 
2411,六ヶ所村,25.00 ,25.00 
2412,おいらせ町,0.00 ,0.00 
2423,大間町,0.00 ,0.00 
2424,東通村,0.00 ,0.00 
2425,風間浦村,100.00 ,33.33 
2426,佐井村,66.67 ,66.67 
2441,三戸町,66.67 ,33.33 
2442,五戸町,42.86 ,14.29 
2443,田子町,66.67 ,33.33 
2445,南部町,37.50 ,25.00 
2446,階上町,50.00 ,16.67 
2450,新郷村,100.00 ,0.00 
3201,盛岡市,13.04 ,10.87 
3202,宮古市,53.85 ,50.00 
3203,大船渡市,16.67 ,0.00 
3205,花巻市,15.79 ,5.26 
3206,北上市,5.88 ,0.00 
3207,久慈市,43.75 ,31.25 
3208,遠野市,27.27 ,0.00 
3209,一関市,19.44 ,5.56 
3210,陸前高田市,50.00 ,0.00 
3211,釜石市,33.33 ,0.00 
3213,二戸市,25.00 ,0.00 
3214,八幡平市,30.00 ,0.00 
3215,奥州市,30.30 ,9.09 
3216,滝沢市,25.00 ,12.50 
3301,雫石町,60.00 ,20.00 
3302,葛巻町,80.00 ,60.00 
3303,岩手町,62.50 ,50.00 
3321,紫波町,27.27 ,0.00 
3322,矢巾町,0.00 ,0.00 
3366,西和賀町,0.00 ,0.00 
3381,金ケ崎町,0.00 ,0.00 
3402,平泉町,0.00 ,0.00 
3441,住田町,0.00 ,0.00 
3461,大槌町,0.00 ,0.00 
3482,山田町,55.56 ,11.11 
3483,岩泉町,92.31 ,76.92 
3484,田野畑村,0.00 ,0.00 
3485,普代村,0.00 ,0.00 
3501,軽米町,50.00 ,25.00 
3503,野田村,0.00 ,0.00 
3506,九戸村,60.00 ,20.00 
3507,洋野町,55.56 ,22.22 
3524,一戸町,33.33 ,16.67 
4105,仙台市,6.35 ,5.56 
4202,石巻市,23.08 ,15.38 
4203,塩竈市,14.29 ,14.29 
4205,気仙沼市,36.84 ,15.79 
4206,白石市,20.00 ,10.00 
4207,名取市,0.00 ,0.00 
4208,角田市,12.50 ,0.00 
4209,多賀城市,0.00 ,0.00 
4211,岩沼市,0.00 ,0.00 
4212,登米市,0.00 ,0.00 
4213,栗原市,22.22 ,11.11 
4214,東松島市,11.11 ,11.11 
4215,大崎市,16.13 ,9.68 
4301,刈田郡蔵王町,0.00 ,0.00 
4302,刈田郡七ヶ宿町,100.00 ,50.00 
4321,柴田郡大河原町,0.00 ,0.00 
4322,柴田郡村田町,0.00 ,0.00 
4323,柴田郡柴田町,0.00 ,0.00 
4324,柴田郡川崎町,50.00 ,0.00 
4341,伊具郡丸森町,66.67 ,33.33 
4361,亘理郡亘理町,0.00 ,0.00 
4362,亘理郡山元町,0.00 ,0.00 
4401,宮城郡松島町,0.00 ,0.00 
4404,宮城郡七ヶ浜町,0.00 ,0.00 
4406,宮城郡利府町,0.00 ,0.00 
4421,黒川郡大和町,14.29 ,14.29 
4422,黒川郡大郷町,0.00 ,0.00 
4423,黒川郡富谷町,0.00 ,0.00 
4424,黒川郡大衡村,0.00 ,0.00 
4444,加美郡色麻町,0.00 ,0.00 
4445,加美郡加美町,30.00 ,20.00 
4501,遠田郡涌谷町,0.00 ,0.00 
4505,遠田郡美里町,0.00 ,0.00 
4581,牡鹿郡女川町,0.00 ,0.00 
4606,本吉郡南三陸町,20.00 ,0.00 
5201,秋田市,13.33 ,6.67 
5202,能代市,41.67 ,33.33 
5203,横手市,4.55 ,0.00 
5204,大館市,5.56 ,5.56 
5206,男鹿市,55.56 ,0.00 
5207,湯沢市,28.57 ,0.00 
5209,鹿角市,22.22 ,22.22 
5210,由利本荘市,11.76 ,0.00 
5211,潟上市,0.00 ,0.00 
5212,大仙市,4.76 ,0.00 
5213,北秋田市,30.77 ,7.69 
5214,にかほ市,0.00 ,0.00 
5215,仙北市,28.57 ,0.00 
5303,鹿角郡小坂町,0.00 ,0.00 
5327,北秋田郡上小阿仁村,100.00 ,0.00 
5346,山本郡藤里町,0.00 ,0.00 
5348,山本郡三種町,16.67 ,0.00 
5349,山本郡八峰町,33.33 ,0.00 
5361,南秋田郡五城目町,50.00 ,0.00 
5363,南秋田郡八郎潟町,0.00 ,0.00 
5366,南秋田郡井川町,0.00 ,0.00 
5368,南秋田郡大潟村,0.00 ,0.00 
5434,仙北郡美郷町,0.00 ,0.00 
5463,雄勝郡羽後町,50.00 ,0.00 
5464,雄勝郡東成瀬村,0.00 ,0.00 
6201,山形市,2.78 ,2.78 
